name,values,label
xCoord,"-74.1502, -73.7842, -73.9654",longitude
pickup_longitude,"-73.985428, -74.016235, -73.959825",longitude
destination_longitude,"-73.789454, -74.174462, -73.872819",longitude
point_lon,"-73.949997, -74.251324, -73.903426",longitude
longitudeCoord,"-73.955, -74.011, -73.872",longitude
locationLon,"-73.987, -74.150, -73.799",longitude
pointX,"-74.002, -73.901, -74.215",longitude
facilityLongitude,"-73.985, -74.150, -73.831",longitude
locationLon,"-73.965, -74.044, -73.778",longitude
xCoord,"-73.867, -74.250, -73.935",longitude
station_lon,"-74.0018, -73.9857, -73.9626",longitude
geographic_longitude,"-74.1502, -73.8726, -73.9969",longitude
location_x_coord,"-74.0445, -73.7781, -73.9442",longitude
streetNumber,"101, 2350, 45, 8001, 123",address
houseNumber,"314, 1590, 7, 6044, 921",address
addressNumber,"555, 1701, 221, 42, 3000",address
terminal_address,"E 34TH ST FERRY TERMI, ST. GEORGE TERMINAL, ROCKAWAY FERRY PIER",address
ferry_stop_location,"E 34TH ST FERRY TERMI, ST. GEORGE TERMINAL, ROCKAWAY FERRY PIER",address
pier_name,"E 34TH ST FERRY TERMI, ST. GEORGE TERMINAL, ROCKAWAY FERRY PIER",address
crossStreet1,"WEST 125 ST, PROSPECT PARK WEST, EAST FORDHAM RD",address
primaryCrossStreet,"WEST 125 ST, PROSPECT PARK WEST, EAST FORDHAM RD",address
intersectingStreetOne,"WEST 125 ST, PROSPECT PARK WEST, EAST FORDHAM RD",address
Street Number,"1025, 4824, 1180",address
House Number,"1025, 4824, 1180",address
Property Address Number,"1025, 4824, 1180",address
TRML_NM,"E 34TH ST FERRY TERMI, ST. GEORGE TERMINAL, ROCKAWAY FERRY PIER",address
TERM_LOC,"E 34TH ST FERRY TERMI, ST. GEORGE TERMINAL, ROCKAWAY FERRY PIER",address
FERRY_PT,"E 34TH ST FERRY TERMI, ST. GEORGE TERMINAL, ROCKAWAY FERRY PIER",address
Crs_St_1,"WEST 125 ST, PROSPECT PARK WEST, EAST FORDHAM RD",address
X_Street_1,"WEST 125 ST, PROSPECT PARK WEST, EAST FORDHAM RD",address
Int_St_1,"WEST 125 ST, PROSPECT PARK WEST, EAST FORDHAM RD",address
Street Address Number,"901, 2150, 5500",address
Property Identification Number,"100, 3321, 8045",address
Civic Address Number,"42, 1999, 6070",address
locationName,"Wall St Pier 11, Battery Park City Ferry, Hunters Point South Terminal",address
ferryStopAddress,"Pier 79 Midtown Ferry, World Financial Center Dock, Paulus Hook Ferry Terminal",address
pierLocation,"Brooklyn Bridge Park Pier 6, Red Hook Atlantic Basin, Dumbo Fulton Ferry Pier",address
X_ST_1,"N BROADWAY, S MAIN ST, E HOUSTON ST",address
CRS_STR_1,"W 42ND ST, ATLANTIC AVE, FLATBUSH AVE",address
CS1,"5TH AVE, PARK AVE S, MADISON AVE",address
Street Number,"78, 450, 2109, 8810, 15",address
House Number,"123, 9, 5600, 742, 3333",address
Property Address Number,"401, 1899, 65, 5252, 2048",address
TRMNL,"E 34TH ST FERRY TERMI, ST. GEORGE TERMINAL, ROCKAWAY FERRY PIER",address
FERRY_STN,"E 34TH ST FERRY TERMI, ST. GEORGE TERMINAL, ROCKAWAY FERRY PIER",address
streetAddress,"MADISON AVENUE, BROADWAY, WALL STREET, PARK AVENUE, CANAL STREET",address
roadName,"SUNSET BLVD, OCEAN DRIVE, MAIN STREET, ELM STREET, LOMBARD STREET",address
thoroughfareName,"MICHIGAN AVE, BOURBON STREET, BEALE STREET, PENNSYLVANIA AVENUE, RODEO DRIVE",address
street_address,"1600 PENNSYLVANIA AVE, 101 MAIN ST, 4059 MT VERNON HWY",address
physical_location,"221B BAKER STREET, 123 ELM STREET, 742 EVERGREEN TERRACE",address
property_address,"1 ROCKEFELLER PLAZA, 888 7TH AVE, 30 HUDSON YARDS",address
site_address,"42 ST - PORT AUTHORITY, MAIN ST & OAK AVE, 14 ST - UNION SQ, W 4 ST & 6TH AVE, ATLANTIC AVE & FLATBUSH AVE",address
street_intersection,"BROADWAY & W 42ND ST, 5TH AVE & E 59TH ST, WALL ST & BROAD ST, E HOUSTON ST & BOWERY, BEDFORD AVE & N 7TH ST",address
location_description,"TIMES SQUARE, GRAND CENTRAL TERMINAL, JFK AIRPORT - TERMINAL 4, SOUTH FERRY - WHITEHALL ST, COLUMBUS CIRCLE & 59 ST",address
address_line_1,"123 MAIN ST, 456 OAK AVE, 789 PINE LN",address
thoroughfare_name,"BEALE STREET, HOLLYWOOD BLVD, LOMBARD STREET",address
road_designation,"ATLANTIC AVE, BEDFORD ST, COLUMBUS CIRCLE",address
street_address,"1600 PENNSYLVANIA AVE, 221B BAKER ST, 10 DOWNING STREET, 1 INFINITE LOOP, 405 LEXINGTON AVENUE",address
physical_address,"123 MAIN ST, 742 EVERGREEN TERRACE, 4400 MLK JR BLVD, 1 GIANTS DRIVE, 89 E 42ND STREET",address
location_address,"ONE WORLD TRADE CENTER, 15 CENTRAL PARK WEST, 101 INDEPENDENCE AVE SE, 620 8TH AVENUE, 465 5TH AVENUE",address
Addr,"34 ST - HERALD SQUARE, FULTON ST & BROADWAY, E 170 ST & GRAND CONC",address
Lctn,"34 ST - HERALD SQUARE, FULTON ST & BROADWAY, E 170 ST & GRAND CONC",address
Site,"34 ST - HERALD SQUARE, FULTON ST & BROADWAY, E 170 ST & GRAND CONC",address
street_address,"5TH AVENUE, FORDHAM PLAZA, JORALEMON ST",address
thoroughfare_name,"ATLANTIC AVE, SUNSET BLVD, CANAL ST",address
road_name,"MADISON AVE, WILSHIRE BLVD, RODEO DR",address
BBL_ID,"1012340056, 3055550101, 4098760025",bbl
NYC_BBL,"2032100001, 5011220333, 1020000075",bbl
BBL_CODE,"3088880040, 4012341000, 2045670089",bbl
bbl_id,"1012340001, 2034560010, 4078900100",bbl
bbl_num,"5001120050, 3055550025, 1009871234",bbl
bbl_code,"2043210011, 4011110002, 3087650099",bbl
bbl_num,"1012340001, 2056780010, 3090120100, 4123451001, 5678900050",bbl
prpty_bbl,"1022440022, 2033550033, 3044660044, 4055770055, 5066880066",bbl
bbl_id,"1987650432, 2876540321, 3765430210, 4654320109, 5543210098",bbl
boroughBlockLot,"1008150021, 2027500001, 3049940050",bbl
parcelIdentifier,"4071231001, 5012340067, 1019790012",bbl
taxLotId,"3005550100, 4108880025, 2043210080",bbl
Borough_Block_Lot_Number,"1001230001, 4123450100, 5000551234",bbl
Property_Tax_Lot_Identifier,"2020200050, 3087650015, 1015000075",bbl
New_York_City_Parcel_ID,"4045670022, 5011110300, 3009990009",bbl
bbl_id,"1008950042, 2026710015, 3034980050, 4125890001",bbl
parcel_num,"5012340077, 1011220033, 2038740009, 3055660100",bbl
tax_lot_id,"4088120021, 5032110065, 1007557501, 2041190018",bbl
boroughBlockLot,"1009870001, 4123450100, 5001110222",bbl
nycPropertyId,"3088880075, 1015000042, 2031200015",bbl
taxLotIdentifier,"5010100101, 3076541234, 4099990001",bbl
BBL_ID,"1012340001, 2056780010, 3090120100",bbl
PclID,"4088881234, 5077775678, 1066669012",bbl
BoroBlkLt,"2043210077, 3123450099, 5002220033",bbl
NYC_BBL,"1001230001, 2023450010, 3098760100",bbl
Prcl_ID,"4111110022, 5222220033, 1333330044",bbl
TaxLot_Num,"2543211000, 3876540005, 4000120099",bbl
bbl_num,"1009870001, 2025000150, 3054321234",bbl
bbl_id,"4123450088, 5001230005, 1018000075",bbl
nyc_bbl,"2033210042, 3088880099, 4007650100",bbl
bbl_id,"1007890012, 3012340100, 5055551234",bbl
prcl_id,"2033210050, 4123450001, 1011110075",bbl
tax_lot,"3087650020, 5001230300, 4099887777",bbl
Borough_Block_Lot_Number,"1012340001, 2056780050, 3090121000",bbl
Property_Tax_Identifier,"4111110200, 5022220300, 1033330400",bbl
Real_Estate_Parcel_ID,"2044440501, 3055550602, 4066660703",bbl
BBL_ID,"1002340056, 2045670089, 3087650123",bbl
PARCEL_ID,"4009870001, 5012340055, 1055550200",bbl
TAX_LOT_NUM,"2022220333, 3033330444, 4044440555",bbl
BoroughBlockLotNumber,"1009870012, 4123450100, 5001110222",bbl
PropertyParcelIdentifier,"2034561001, 3087650050, 1015000075",bbl
TaxLotIdentificationCode,"4055550001, 5078901234, 2022220333",bbl
Borough_Block_Lot_Identifier,"1009870050, 2025000123, 5001231000",bbl
Property_Tax_Parcel_ID,"1009870050, 2025000123, 5001231000",bbl
NYC_Geographic_Locator,"1009870050, 2025000123, 5001231000",bbl
boroughBlockLot,"1008760050, 4123450101, 5001110022",bbl
nycPropertyId,"2045000075, 3088991200, 1009990001",bbl
taxParcelId,"3050500300, 4077070080, 2031000045",bbl
applicationBbl,"1001230001, 2045670089, 3098760543",bbl
propertyBbl,"4111110222, 5222220333, 1333330444",bbl
parcelIdentifier,"2500011000, 3600021200, 4700031300",bbl
boroughBlockLot,"1012340001, 2056780010, 3098760100",bbl
nycPropertyIdentifier,"4111110002, 5222220020, 1333330200",bbl
taxParcelNumber,"2444440003, 3555550030, 4666660300",bbl
pointGeometry,"POINT (-74.0445 40.6892), POINT (-73.9857 40.7484), POINT (-73.9851 40.7580)",point
locationWkt,"POINT (-73.9969 40.7061), POINT (-74.0134 40.7127), POINT (-73.9772 40.7527)",point
coordinatePoint,"POINT (-73.9632 40.7794), POINT (-73.9262 40.8296), POINT (-73.9579 40.8075)",point
cntr_pt,"POINT (-73.9857 40.7484), POINT (-74.0445 40.6892), POINT (-73.9772 40.7580)",point
loc_coords,"POINT (-73.9654 40.7829), POINT (-74.0134 40.7061), POINT (-73.9969 40.7309)",point
geo_loc,"POINT (-73.9580 40.8075), POINT (-73.9352 40.8296), POINT (-74.0099 40.7401)",point
WellKnownTextGeometryPoint,"POINT (-73.9857 40.7484), POINT (-74.0445 40.6892), POINT (-73.9855 40.7580), POINT (-73.9749 40.7758), POINT (-73.9969 40.7061)",point
GeographicPointLocation,"POINT (-74.0134 40.7127), POINT (-73.9772 40.7527), POINT (-73.9632 40.7794), POINT (-73.9262 40.8296), POINT (-73.9785 40.5750)",point
SpatialPointCoordinate,"POINT (-73.9760 40.7584), POINT (-74.0101 40.7075), POINT (-73.9500 40.8099), POINT (-73.7781 40.6413), POINT (-73.9935 40.7505)",point
Counter Geographic Coordinates,"POINT (-73.9857 40.7484), POINT (-74.0445 40.6892), POINT (-73.9632 40.7794)",point
Device Installation Point,"POINT (-74.0134 40.7127), POINT (-73.9772 40.7527), POINT (-73.9969 40.7061)",point
Sensor Geolocation WKT,"POINT (-73.9262 40.8296), POINT (-73.9818 40.5749), POINT (-73.9579 40.8075)",point
PtGeom,"POINT (-74.0445 40.6892), POINT (-73.9857 40.7484), POINT (-73.9772 40.7829)",point
WktPt,"POINT (-74.0134 40.7133), POINT (-73.9654 40.7812), POINT (-73.9878 40.7580)",point
GeoPt,"POINT (-74.0060 40.7128), POINT (-73.9789 40.7639), POINT (-73.9969 40.7222)",point
counterCoordinates,"POINT (-74.0445 40.6892), POINT (-73.9851 40.7580), POINT (-73.9718 40.7678)",point
locationPoint,"POINT (-73.9969 40.7061), POINT (-74.0134 40.7127), POINT (-73.9772 40.7527)",point
deviceGeoLocation,"POINT (-73.9632 40.7794), POINT (-73.9262 40.8296), POINT (-73.9815 40.5749)",point
location_geometry_wkt,"POINT (-73.9857 40.7484), POINT (-74.0445 40.6892), POINT (-73.9851 40.7580)",point
geographic_point,"POINT (-73.9969 40.7061), POINT (-74.0134 40.7130), POINT (-73.9772 40.7527)",point
spatial_coordinates,"POINT (-73.9632 40.7794), POINT (-73.9262 40.8296), POINT (-73.9742 40.7688)",point
Cntr_Loc_Pt,"POINT (-73.9857 40.7484), POINT (-73.9772 40.7829), POINT (-74.0445 40.6892), POINT (-73.9969 40.7580)",point
CL_Geo,"POINT (-73.9959 40.7295), POINT (-74.0134 40.7130), POINT (-73.9626 40.8075), POINT (-73.9597 40.7812)",point
Cnt_Locn,"POINT (-74.0101 40.7061), POINT (-73.9890 40.7308), POINT (-73.9734 40.7641), POINT (-73.9654 40.7794)",point
point_geometry_wkt,"POINT (-74.0445 40.6892), POINT (-73.9855 40.7580), POINT (-73.9749 40.7758)",point
location_wkt,"POINT (-74.0134 40.7127), POINT (-73.9772 40.7527), POINT (-73.9632 40.7794)",point
spatial_point_wkt,"POINT (-73.9857 40.7484), POINT (-73.9969 40.7061), POINT (-73.9935 40.7505)",point
Counter_Geographic_Coordinates,"POINT (-74.0060 40.7128), POINT (-73.9659 40.7794), POINT (-73.9855 40.7580)",point
Location_Point_Of_Counter,"POINT (-73.9772 40.7623), POINT (-74.0101 40.7100), POINT (-73.9442 40.8296)",point
Measurement_Device_Geo_Point,"POINT (-73.9579 40.8075), POINT (-73.9904 40.7482), POINT (-73.9732 40.7647)",point
point_location,"POINT (-74.0445 40.6892), POINT (-73.9851 40.7580), POINT (-73.9969 40.7061), POINT (-74.0134 40.7127), POINT (-73.9772 40.7527)",point
wkt_geometry_point,"POINT (-73.9632 40.7794), POINT (-73.9936 40.7505), POINT (-73.9262 40.8296), POINT (-73.9897 40.7411), POINT (-73.8770 40.8506)",point
spatial_coordinate,"POINT (-73.9755 40.7757), POINT (-73.9787 40.7587), POINT (-74.0134 40.7056), POINT (-73.9780 40.5750), POINT (-73.9857 40.7484)",point
sensor_coordinates,"POINT (-73.9854 40.7580), POINT (-73.9748 40.7648), POINT (-73.9965 40.7033)",point
device_geopoint,"POINT (-74.0162 40.7031), POINT (-73.9262 40.8296), POINT (-73.8458 40.7401)",point
installation_location,"POINT (-73.9772 40.7527), POINT (-73.9686 40.6602), POINT (-73.9626 40.8075)",point
point_geometry,"POINT (-74.0445 40.6892), POINT (-73.9855 40.7580), POINT (-74.0134 40.7130)",point
wkt_location,"POINT (-74.0445 40.6892), POINT (-73.9855 40.7580), POINT (-74.0134 40.7130)",point
spatial_coordinates,"POINT (-74.0445 40.6892), POINT (-73.9855 40.7580), POINT (-74.0134 40.7130)",point
ctr_loc_pt,"POINT (-73.9857 40.7484), POINT (-74.0445 40.6892), POINT (-73.9789 40.7639), POINT (-73.9654 40.7829)",point
cntr_geo_pt,"POINT (-73.9969 40.7128), POINT (-74.0134 40.7061), POINT (-73.9878 40.7577), POINT (-73.9597 40.7792)",point
loc_coord,"POINT (-73.9940 40.7505), POINT (-73.9712 40.7651), POINT (-74.0099 40.7402), POINT (-73.9934 40.7196)",point
PointGeometryWellKnownText,"POINT (-73.9857 40.7484), POINT (-74.0445 40.6892), POINT (-73.9851 40.7580)",point
SpatialPointRepresentation,"POINT (-73.9969 40.7061), POINT (-73.9742 40.7711), POINT (-74.0134 40.7128)",point
GeographicPointLocationText,"POINT (-73.9654 40.7829), POINT (-73.9599 40.7901), POINT (-73.9818 40.7680)",point
locationCoordinates,"POINT (-74.0445 40.6892), POINT (-73.9855 40.7580), POINT (-73.9654 40.7829), POINT (-73.9969 40.7061)",point
sensorPosition,"POINT (-73.9772 40.7527), POINT (-74.0134 40.7127), POINT (-73.8770 40.8506), POINT (-73.9262 40.8296)",point
geographicPoint,"POINT (-73.9857 40.7484), POINT (-73.9787 40.7587), POINT (-73.9632 40.7794), POINT (-73.7781 40.6413)",point
pointLocation,"POINT (-73.9857 40.7580), POINT (-73.9857 40.7484), POINT (-74.0445 40.6892)",point
geoCoordinates,"POINT (-73.9969 40.7061), POINT (-73.9772 40.7527), POINT (-74.0134 40.7127)",point
wktPoint,"POINT (-73.9632 40.7794), POINT (-73.9262 40.8296), POINT (-73.9935 40.7505)",point
Cntr_Loc_Pt,"POINT (-73.9654 40.7829), POINT (-74.0445 40.6892), POINT (-73.9969 40.7411), POINT (-73.9789 40.7639), POINT (-74.0134 40.7061)",point
Ctr_Geom,"POINT (-73.9857 40.7484), POINT (-73.8730 40.7753), POINT (-73.9934 40.7505), POINT (-73.9632 40.7964), POINT (-73.9772 40.7587)",point
Ctr_Pt,"POINT (-73.9959 40.7143), POINT (-73.9712 40.7678), POINT (-73.9878 40.7308), POINT (-74.0101 40.7128), POINT (-73.9579 40.8075)",point
geom,"POLYGON ((-73.99 40.76, -73.98 40.76, -73.985 40.75, -73.99 40.76)), POLYGON ((-74.01 40.71, -74.00 40.71, -74.005 40.70, -74.01 40.71)), POLYGON ((-73.95 40.80, -73.94 40.80, -73.945 40.79, -73.95 40.80))",polygon
poly,"POLYGON ((-73.99 40.76, -73.98 40.76, -73.985 40.75, -73.99 40.76)), POLYGON ((-74.01 40.71, -74.00 40.71, -74.005 40.70, -74.01 40.71)), POLYGON ((-73.95 40.80, -73.94 40.80, -73.945 40.79, -73.95 40.80))",polygon
shp,"POLYGON ((-73.99 40.76, -73.98 40.76, -73.985 40.75, -73.99 40.76)), POLYGON ((-74.01 40.71, -74.00 40.71, -74.005 40.70, -74.01 40.71)), POLYGON ((-73.95 40.80, -73.94 40.80, -73.945 40.79, -73.95 40.80))",polygon
locationPolygon,"POLYGON ((-73.97 40.78, -73.96 40.78, -73.96 40.77, -73.97 40.77, -73.97 40.78)), POLYGON ((-73.96 40.71, -73.95 40.71, -73.95 40.70, -73.96 40.70, -73.96 40.71)), POLYGON ((-73.83 40.76, -73.82 40.76, -73.82 40.75, -73.83 40.75, -73.83 40.76))",polygon
boundaryShape,"POLYGON ((-73.97 40.78, -73.96 40.78, -73.96 40.77, -73.97 40.77, -73.97 40.78)), POLYGON ((-73.96 40.71, -73.95 40.71, -73.95 40.70, -73.96 40.70, -73.96 40.71)), POLYGON ((-73.83 40.76, -73.82 40.76, -73.82 40.75, -73.83 40.75, -73.83 40.76))",polygon
geoArea,"POLYGON ((-73.97 40.78, -73.96 40.78, -73.96 40.77, -73.97 40.77, -73.97 40.78)), POLYGON ((-73.96 40.71, -73.95 40.71, -73.95 40.70, -73.96 40.70, -73.96 40.71)), POLYGON ((-73.83 40.76, -73.82 40.76, -73.82 40.75, -73.83 40.75, -73.83 40.76))",polygon
geom_poly,"POLYGON ((-73.98 40.75, -73.97 40.75, -73.97 40.74, -73.98 40.74, -73.98 40.75)), POLYGON ((-73.95 40.69, -73.94 40.70, -73.96 40.68, -73.95 40.69)), POLYGON ((-73.88 40.85, -73.87 40.85, -73.87 40.84, -73.88 40.84, -73.88 40.85))",polygon
poly_shp,"POLYGON ((-73.98 40.75, -73.97 40.75, -73.97 40.74, -73.98 40.74, -73.98 40.75)), POLYGON ((-73.95 40.69, -73.94 40.70, -73.96 40.68, -73.95 40.69)), POLYGON ((-73.88 40.85, -73.87 40.85, -73.87 40.84, -73.88 40.84, -73.88 40.85))",polygon
geo_plgn,"POLYGON ((-73.98 40.75, -73.97 40.75, -73.97 40.74, -73.98 40.74, -73.98 40.75)), POLYGON ((-73.95 40.69, -73.94 40.70, -73.96 40.68, -73.95 40.69)), POLYGON ((-73.88 40.85, -73.87 40.85, -73.87 40.84, -73.88 40.84, -73.88 40.85))",polygon
locationPolygon,"POLYGON ((-73.99 40.75, -73.98 40.76, -73.98 40.75, -73.99 40.75)), POLYGON ((-73.97 40.78, -73.96 40.78, -73.96 40.77, -73.97 40.77, -73.97 40.78)), POLYGON ((-74.01 40.71, -74.00 40.72, -73.99 40.71, -74.01 40.71))",polygon
areaBoundary,"POLYGON ((-73.99 40.75, -73.98 40.76, -73.98 40.75, -73.99 40.75)), POLYGON ((-73.97 40.78, -73.96 40.78, -73.96 40.77, -73.97 40.77, -73.97 40.78)), POLYGON ((-74.01 40.71, -74.00 40.72, -73.99 40.71, -74.01 40.71))",polygon
regionPolygon,"POLYGON ((-73.99 40.75, -73.98 40.76, -73.98 40.75, -73.99 40.75)), POLYGON ((-73.97 40.78, -73.96 40.78, -73.96 40.77, -73.97 40.77, -73.97 40.78)), POLYGON ((-74.01 40.71, -74.00 40.72, -73.99 40.71, -74.01 40.71))",polygon
GeographicBoundaryPolygon,"POLYGON ((-73.985 40.758, -73.984 40.758, -73.984 40.757, -73.985 40.757, -73.985 40.758)), POLYGON ((-73.975 40.682, -73.974 40.682, -73.974 40.681, -73.975 40.681, -73.975 40.682)), POLYGON ((-73.845 40.745, -73.844 40.745, -73.844 40.744, -73.845 40.744, -73.845 40.745)), POLYGON ((-73.926 40.829, -73.925 40.829, -73.925 40.828, -73.926 40.828, -73.926 40.829)), POLYGON ((-74.150 40.600, -74.149 40.600, -74.149 40.599, -74.150 40.599, -74.150 40.600))",polygon
SpatialAreaRepresentation,"POLYGON ((-73.990 40.750, -73.989 40.750, -73.989 40.749, -73.990 40.749, -73.990 40.750)), POLYGON ((-73.960 40.690, -73.959 40.690, -73.959 40.689, -73.960 40.689, -73.960 40.690)), POLYGON ((-73.820 40.760, -73.819 40.760, -73.819 40.759, -73.820 40.759, -73.820 40.760)), POLYGON ((-73.900 40.850, -73.899 40.850, -73.899 40.849, -73.900 40.849, -73.900 40.850)), POLYGON ((-74.200 40.550, -74.199 40.550, -74.199 40.549, -74.200 40.549, -74.200 40.550))",polygon
LocationFootprintPolygon,"POLYGON ((-74.001 40.714, -74.000 40.714, -74.000 40.713, -74.001 40.713, -74.001 40.714)), POLYGON ((-73.998 40.722, -73.997 40.722, -73.997 40.721, -73.998 40.721, -73.998 40.722)), POLYGON ((-73.989 40.739, -73.988 40.739, -73.988 40.738, -73.989 40.738, -73.989 40.739)), POLYGON ((-73.965 40.783, -73.964 40.783, -73.964 40.782, -73.965 40.782, -73.965 40.783)), POLYGON ((-73.958 40.807, -73.957 40.807, -73.957 40.806, -73.958 40.806, -73.958 40.807))",polygon
GeographicBoundaryPolygon,"POLYGON ((-73.98 40.75, -73.97 40.75, -73.97 40.74, -73.98 40.74, -73.98 40.75)), POLYGON ((-74.01 40.71, -74.00 40.71, -74.00 40.70, -74.01 40.71)), POLYGON ((-73.96 40.77, -73.95 40.77, -73.95 40.76, -73.96 40.76, -73.96 40.77))",polygon
